epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.435,1.32238,2.10201,1.24502,0.65836,0.57155,0.64225,0.34157,1.69737,2.13842,1.41612,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,207.323,1.33222,1.31388,1.24982,0.4811,0.39658,0.36572,0.17637,1.9363,2.29148,1.64681,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363
3,297.381,1.435,1.28961,1.30989,0.38614,0.29056,0.25683,0.11268,2.23623,2.61295,1.83224,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503
4,386.222,1.46478,1.30013,1.3437,0.55201,0.38152,0.37874,0.17936,2.05709,2.79547,1.80945,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,474.94,1.39017,1.1672,1.3081,0.66545,0.47153,0.50931,0.24443,2.03867,2.13458,1.79019,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,563.769,1.33526,1.08544,1.27597,0.62791,0.53346,0.57425,0.31738,1.98341,1.97247,1.74618,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,652.192,1.296,1.01987,1.2484,0.79577,0.5158,0.60983,0.35053,1.84459,2.16382,1.61691,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,740.719,1.26491,0.98047,1.24071,0.7743,0.51149,0.58149,0.33924,1.94879,2.21745,1.60904,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,828.995,1.22512,0.93701,1.21762,0.78878,0.5099,0.58855,0.3452,1.92849,2.40472,1.68487,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,920.119,1.20227,0.90419,1.20287,0.73998,0.52218,0.59821,0.34839,1.86592,2.17328,1.62601,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1018.96,1.17529,0.88548,1.19231,0.70574,0.55087,0.60978,0.39442,1.86489,2.26646,1.58658,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1112.44,1.16315,0.85881,1.18271,0.8221,0.48754,0.58737,0.36385,1.92577,2.5636,1.63625,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1207.25,1.14738,0.83078,1.1732,0.79642,0.52265,0.61626,0.38579,1.85977,2.31688,1.5992,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1298.86,1.13159,0.80843,1.15945,0.79711,0.50422,0.60703,0.38506,1.85189,2.32516,1.55745,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1391.12,1.10037,0.78918,1.15685,0.76115,0.61197,0.66098,0.38668,1.89967,1.75408,1.67323,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1481.27,1.09732,0.77774,1.14582,0.7748,0.47274,0.55486,0.3679,1.90426,2.90852,1.64267,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1572.99,1.07998,0.77571,1.14003,0.85777,0.50515,0.60763,0.39016,1.88587,2.6047,1.62436,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1660.99,1.06793,0.74825,1.13334,0.77213,0.50593,0.59413,0.39972,1.82437,2.54748,1.54645,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1749.31,1.05798,0.7489,1.13049,0.81174,0.50372,0.60225,0.39816,1.83212,2.60014,1.56703,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1840.52,1.04213,0.72293,1.11682,0.81317,0.49191,0.59099,0.40808,1.83967,2.85636,1.57358,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1931.17,1.03888,0.7256,1.1208,0.79867,0.5349,0.61039,0.40521,1.88512,2.44288,1.61568,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2019.1,1.03896,0.71552,1.117,0.85201,0.49891,0.60195,0.41064,1.87949,2.84826,1.60622,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2107.81,1.01331,0.69287,1.10775,0.80342,0.53369,0.60931,0.39498,1.83384,2.4636,1.53268,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2195.98,1.02289,0.69616,1.10654,0.89347,0.52639,0.60324,0.40951,1.88277,2.89534,1.58404,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2285.48,0.99883,0.68506,1.10066,0.81602,0.55126,0.62439,0.4347,1.83431,2.49426,1.54043,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2375.16,1.00548,0.68747,1.10885,0.85978,0.51232,0.59968,0.42224,1.87163,2.88317,1.59376,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2463.64,0.9886,0.66514,1.09531,0.8363,0.53668,0.60935,0.4384,1.75984,2.72086,1.50065,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2552.84,0.97645,0.65559,1.08632,0.85216,0.53929,0.61905,0.44899,1.79009,2.64061,1.52757,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2640.61,0.97468,0.64933,1.08846,0.84662,0.50261,0.63394,0.44444,1.78714,2.39489,1.57354,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2728.71,0.9652,0.65116,1.08925,0.81922,0.53342,0.61179,0.44115,1.793,2.74952,1.50022,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2816.16,0.95315,0.63357,1.07982,0.84425,0.55226,0.63533,0.44766,1.79656,2.43811,1.51855,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2903.66,0.96009,0.64006,1.07301,0.83298,0.54302,0.63433,0.44659,1.79454,2.41102,1.50901,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2991.34,0.95144,0.62877,1.07369,0.87165,0.51773,0.62316,0.45171,1.82903,2.77602,1.55447,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3078.74,0.94939,0.63183,1.07657,0.84518,0.5276,0.61873,0.44656,1.84185,2.50958,1.55987,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
