epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,227.501,1.56494,2.00271,1.10438,0.68103,0.60196,0.65854,0.35539,1.60093,1.5786,1.10426,0.00999019,0.00333006,0.00999019,0.00333006,0.00999019,0.00333006,0.00999019,0.00333006
2,422.565,1.61613,1.3366,1.11554,0.71129,0.54544,0.60556,0.30473,1.81536,1.52799,1.2542,0.0197923,0.00659743,0.0197923,0.00659743,0.0197923,0.00659743,0.0197923,0.00659743
3,608.726,1.7073,1.38334,1.17019,0.57571,0.51521,0.49624,0.23141,1.81999,1.64811,1.27211,0.0293964,0.00979879,0.0293964,0.00979879,0.0293964,0.00979879,0.0293964,0.00979879
4,789.707,1.71689,1.36661,1.18489,0.72751,0.52666,0.60889,0.30904,1.73717,1.49015,1.23307,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,971.636,1.64092,1.27196,1.15292,0.67478,0.51797,0.57518,0.27847,1.72951,1.55891,1.25817,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1160.5,1.57987,1.18604,1.12278,0.74685,0.62437,0.69133,0.38334,1.58635,1.30041,1.1506,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1345.73,1.54227,1.1359,1.11029,0.74856,0.61007,0.68647,0.38295,1.5838,1.29397,1.1646,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1531.38,1.50732,1.08764,1.09495,0.76384,0.64911,0.71387,0.39424,1.56859,1.26558,1.14866,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1712.14,1.48524,1.05951,1.08466,0.7941,0.68577,0.75625,0.4463,1.51207,1.16231,1.11141,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1896.23,1.46894,1.04073,1.07591,0.804,0.65714,0.74775,0.45243,1.49938,1.17874,1.10668,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2080.24,1.44622,1.0079,1.06434,0.80841,0.70481,0.77332,0.4722,1.45927,1.08967,1.07952,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2262.02,1.42533,0.9934,1.05394,0.8053,0.69461,0.76976,0.46699,1.46232,1.08303,1.07472,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2447.16,1.41555,0.98092,1.05331,0.8048,0.69579,0.77381,0.48153,1.45389,1.07584,1.07422,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2631.26,1.40109,0.95854,1.0447,0.8085,0.69638,0.7715,0.48114,1.42264,1.08097,1.05891,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2815.66,1.39099,0.95596,1.0403,0.81205,0.71144,0.78308,0.48759,1.4349,1.05462,1.06544,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3013.68,1.38402,0.94674,1.03701,0.8275,0.70127,0.78353,0.49903,1.4216,1.08378,1.05876,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3255.13,1.37405,0.93036,1.03174,0.82721,0.72466,0.80048,0.50742,1.40533,1.00431,1.05189,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3500.54,1.3562,0.91581,1.02609,0.83218,0.72697,0.79664,0.50775,1.39748,1.01994,1.04744,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3726.93,1.35289,0.91308,1.02354,0.83466,0.72953,0.79776,0.51934,1.38609,1.02944,1.03756,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3940.85,1.34146,0.89846,1.02192,0.84022,0.71815,0.79787,0.51402,1.39833,1.0302,1.04972,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4132.83,1.32655,0.88309,1.01331,0.83161,0.72711,0.79918,0.52698,1.36649,1.00215,1.02681,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4360.17,1.32744,0.87864,1.01365,0.84793,0.73121,0.80495,0.52501,1.37306,1.01741,1.03285,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4559.49,1.32292,0.87464,1.01006,0.83135,0.73995,0.8039,0.53025,1.35577,1.00218,1.02701,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4762.17,1.31366,0.87084,1.00952,0.8578,0.73427,0.8122,0.54151,1.36311,0.97839,1.02888,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4954.46,1.30833,0.8598,1.00359,0.84538,0.74081,0.81335,0.54173,1.34534,0.97098,1.0224,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5146.43,1.29972,0.84841,0.99969,0.83647,0.7361,0.80619,0.54048,1.3369,1.00269,1.01032,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5331.53,1.29689,0.85276,1.00166,0.85252,0.7307,0.81051,0.54832,1.33066,0.99345,1.01244,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
