epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,141.516,1.57129,2.70848,1.10691,13.547,0.58898,0.44004,0.45542,0.23885,1.59294,3.35859,1.19853,0,0.000471522,0.000471522,0.000471522
2,251.439,1.51808,1.72166,1.07617,6.87897,0.45503,0.44071,0.22893,0.10961,1.95308,3.80593,1.47912,0,0.000938471,0.000938471,0.000938471
3,361.509,1.51716,1.43585,1.07177,5.84632,0.54096,0.4181,0.41634,0.19711,1.72343,2.02386,1.29545,0,0.00139599,0.00139599,0.00139599
4,466.832,1.49358,1.24211,1.06517,5.36937,0.56927,0.50026,0.52552,0.27387,1.67291,1.66812,1.20941,0,0.00138656,0.00138656,0.00138656
5,571.529,1.45799,1.12892,1.05054,4.93528,0.63393,0.58861,0.61712,0.35275,1.5277,1.44541,1.14456,0,0.00137241,0.00137241,0.00137241
6,674.696,1.41747,1.06263,1.03504,4.55732,0.65859,0.61481,0.68259,0.40597,1.4813,1.40053,1.12148,0,0.00135826,0.00135826,0.00135826
7,788.732,1.39672,1.03071,1.02876,4.33335,0.68004,0.56379,0.64036,0.3842,1.4578,1.37143,1.11323,0,0.00134412,0.00134412,0.00134412
8,894.893,1.3756,0.99104,1.01904,4.16237,0.72819,0.61838,0.69431,0.41761,1.47304,1.24329,1.12715,0,0.00132997,0.00132997,0.00132997
9,1016.08,1.36679,0.97089,1.0132,4.00498,0.7514,0.64773,0.70418,0.43517,1.49013,1.23106,1.11394,0,0.00131582,0.00131582,0.00131582
10,1116.77,1.34307,0.94995,1.00728,3.87437,0.76652,0.64497,0.73343,0.44531,1.505,1.13766,1.13672,0,0.00130168,0.00130168,0.00130168
11,1215.44,1.33163,0.92819,1.00003,3.73877,0.74816,0.64208,0.74073,0.46963,1.38453,1.20943,1.0708,0,0.00128753,0.00128753,0.00128753
12,1312.83,1.31703,0.90915,0.99871,3.63951,0.79351,0.68726,0.75785,0.47905,1.39069,1.07315,1.07059,0,0.00127338,0.00127338,0.00127338
13,1411.37,1.30663,0.90402,0.99378,3.56692,0.81632,0.66011,0.75419,0.47565,1.41671,1.10515,1.07583,0,0.00125923,0.00125923,0.00125923
14,1514.47,1.28964,0.88013,0.9889,3.45185,0.79923,0.70049,0.77181,0.5017,1.33387,1.02372,1.03634,0,0.00124509,0.00124509,0.00124509
15,1620.02,1.28731,0.86934,0.98436,3.38756,0.77027,0.67512,0.74755,0.4795,1.37878,1.17536,1.05827,0,0.00123094,0.00123094,0.00123094
16,1720.7,1.27649,0.86391,0.98525,3.34095,0.8381,0.65679,0.77071,0.49621,1.34329,1.11387,1.04666,0,0.00121679,0.00121679,0.00121679
17,1822.37,1.26382,0.85047,0.98082,3.25915,0.8174,0.69497,0.7749,0.5071,1.32313,1.06274,1.03245,0,0.00120265,0.00120265,0.00120265
18,1923.52,1.25654,0.83973,0.97751,3.18435,0.80953,0.70385,0.7703,0.50821,1.34379,1.05217,1.035,0,0.0011885,0.0011885,0.0011885
19,2023.89,1.24853,0.83611,0.97545,3.14877,0.82282,0.72083,0.78988,0.51673,1.3253,0.99039,1.03221,0,0.00117435,0.00117435,0.00117435
20,2118.06,1.24197,0.82555,0.97245,3.0982,0.82756,0.69944,0.77763,0.51433,1.32071,1.0508,1.02662,0,0.00116021,0.00116021,0.00116021
21,2220.03,1.24073,0.81821,0.9685,3.06193,0.84813,0.6928,0.79633,0.53414,1.32037,0.93861,1.03831,0,0.00114606,0.00114606,0.00114606
22,2317.55,1.23058,0.80957,0.96907,3.01997,0.79737,0.72871,0.79037,0.52668,1.29442,0.94652,1.01541,0,0.00113191,0.00113191,0.00113191
23,2416.41,1.2293,0.8042,0.96629,2.97671,0.82861,0.69833,0.77693,0.52376,1.29276,1.05259,1.01155,0,0.00111776,0.00111776,0.00111776
24,2519.15,1.21394,0.79678,0.96412,2.93337,0.80751,0.66131,0.76512,0.50675,1.31197,1.13561,1.03338,0,0.00110362,0.00110362,0.00110362
25,2615.24,1.21228,0.79095,0.96323,2.88502,0.82662,0.70572,0.77719,0.53104,1.27938,1.08595,1.00349,0,0.00108947,0.00108947,0.00108947
26,2714.75,1.21099,0.78565,0.95956,2.84132,0.82672,0.72582,0.79786,0.53726,1.27471,0.97028,1.00621,0,0.00107532,0.00107532,0.00107532
27,2826.67,1.20083,0.77872,0.95856,2.80615,0.84066,0.73434,0.79618,0.54146,1.29121,0.94171,1.01924,0,0.00106118,0.00106118,0.00106118
28,2936.58,1.20189,0.77292,0.958,2.79093,0.83549,0.73591,0.80432,0.55157,1.26084,0.93252,1.00135,0,0.00104703,0.00104703,0.00104703
29,3050.15,1.19139,0.76995,0.95472,2.74303,0.82821,0.73923,0.80489,0.54868,1.28135,0.95475,1.0173,0,0.00103288,0.00103288,0.00103288
30,3164.88,1.19017,0.76494,0.95509,2.70855,0.84519,0.73247,0.80461,0.54695,1.28001,0.9306,1.01601,0,0.00101873,0.00101873,0.00101873
31,3264.36,1.18659,0.76112,0.95244,2.67462,0.84656,0.73059,0.79962,0.55085,1.26203,0.9969,0.99012,0,0.00100459,0.00100459,0.00100459
32,3370.76,1.1818,0.7547,0.94902,2.64652,0.83745,0.74513,0.80836,0.55044,1.26874,0.89801,1.01183,0,0.00099044,0.00099044,0.00099044
33,3489.16,1.17432,0.74731,0.94905,2.61916,0.84996,0.74866,0.81438,0.56712,1.2478,0.90337,0.99586,0,0.000976293,0.000976293,0.000976293
34,3598.29,1.17345,0.74424,0.94845,2.58277,0.84761,0.73667,0.80256,0.55176,1.27745,0.97128,1.00617,0,0.000962146,0.000962146,0.000962146
35,3703.93,1.16627,0.73995,0.94704,2.56864,0.85108,0.7453,0.81356,0.56619,1.23751,0.90549,0.9871,0,0.000947999,0.000947999,0.000947999
36,3814.35,1.15997,0.73683,0.94658,2.53489,0.85361,0.75455,0.82025,0.57088,1.23657,0.86286,0.99217,0,0.000933851,0.000933851,0.000933851
37,3931.91,1.16732,0.73852,0.94646,2.54014,0.86232,0.7434,0.81416,0.56498,1.24989,0.91904,1.00348,0,0.000919704,0.000919704,0.000919704
38,4049.56,1.1582,0.73332,0.9404,2.48529,0.8488,0.74731,0.81257,0.55897,1.25113,0.89585,1.00499,0,0.000905557,0.000905557,0.000905557
39,4153.2,1.1558,0.72668,0.94026,2.48203,0.84387,0.74209,0.80603,0.56374,1.26413,0.91974,1.00509,0,0.00089141,0.00089141,0.00089141
40,4264.18,1.15017,0.72477,0.94376,2.46662,0.84624,0.74202,0.80584,0.56253,1.25105,0.94336,0.98834,0,0.000877263,0.000877263,0.000877263
41,4370.9,1.14549,0.72066,0.94265,2.44753,0.84209,0.75628,0.81394,0.569,1.24404,0.88855,0.9833,0,0.000863116,0.000863116,0.000863116
42,4479.77,1.141,0.71426,0.9397,2.40379,0.84762,0.73939,0.8119,0.57234,1.22696,0.92403,0.98618,0,0.000848969,0.000848969,0.000848969
43,4585.54,1.13127,0.70481,0.93737,2.36129,0.84391,0.76539,0.82331,0.57692,1.22199,0.848,0.97458,0,0.000834822,0.000834822,0.000834822
