epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.077,1.3783,1.21588,1.04167,0.71396,0.66679,0.72577,0.42313,1.36293,1.1152,1.09231,0.00995413,0.00331804,0.00995413,0.00331804,0.00995413,0.00331804,0.00995413,0.00331804
2,317.613,1.40379,1.00654,1.031,0.69843,0.56289,0.63534,0.3159,1.59701,1.7435,1.19958,0.0197566,0.00658553,0.0197566,0.00658553,0.0197566,0.00658553,0.0197566,0.00658553
3,485.972,1.56328,1.163,1.10362,0.32064,0.35279,0.26429,0.10906,1.9604,8.93117,1.44342,0.029361,0.00978701,0.029361,0.00978701,0.029361,0.00978701,0.029361,0.00978701
4,622.271,1.5962,1.21811,1.12913,0.57591,0.4009,0.40557,0.19951,1.7676,3.30829,1.31912,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,738.751,1.52001,1.10677,1.10006,0.69943,0.58468,0.64165,0.32535,1.64065,1.32181,1.22345,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,864.576,1.45187,1.01697,1.06552,0.66161,0.6209,0.65807,0.37885,1.56246,1.41227,1.18021,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,984.354,1.40552,0.96695,1.05113,0.74051,0.67527,0.7227,0.41762,1.46213,1.17114,1.12826,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1107.23,1.37735,0.93763,1.03817,0.79242,0.6905,0.76175,0.45095,1.48928,1.10778,1.13889,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1241.85,1.34996,0.89801,1.02697,0.80223,0.67742,0.75862,0.45323,1.44215,1.12056,1.11677,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1353.56,1.31823,0.8722,1.0183,0.79123,0.6761,0.75791,0.44148,1.44621,1.14282,1.11089,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1467.71,1.30753,0.85578,1.01006,0.82936,0.72406,0.79577,0.49388,1.37756,1.00811,1.07213,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1582.57,1.28274,0.83523,1.00218,0.83725,0.71695,0.79939,0.49899,1.3547,1.0107,1.06018,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1708.06,1.27033,0.8178,0.99636,0.82269,0.72503,0.79537,0.50549,1.33827,0.98937,1.05206,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1823.39,1.26091,0.80675,0.99231,0.84517,0.74844,0.81877,0.51934,1.32659,0.91969,1.05567,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1938.23,1.24656,0.79626,0.98824,0.85049,0.74887,0.81285,0.51441,1.33989,0.93721,1.05061,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
